name,day_of_week,color,start_time,end_time,other_notes,document_id,name_venue,address,phone_number,other_notes_venue
Breastfeeding Network Helper Course,Thursday,#cd9faf,13:15:00+00:00,15:15:00+00:00,9 Jan - 6 Feb,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
Fussy Eating Workshop,Thursday,#cd9faf,13:15:00+00:00,15:15:00+00:00,27 March,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
Antenatal & Postnatal Clinic,Friday,#aae3ff,09:30:00+00:00,12:00:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Jessop Children’s Centre,"9 Lowden Road, SE24 OBJ",020 7737 5164,or 07920 157 180
Starting Solids Workshop,Friday,#aae3ff,09:30:00+00:00,11:30:00+00:00,31 Jan,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Jessop Children’s Centre,"9 Lowden Road, SE24 OBJ",020 7737 5164,or 07920 157 180
Caseload Midwifery,Friday,#b5b1f5,09:00:00+00:00,12:00:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Liz Atkinson Children’s Centre,"9 9 Mostyn Road, SW9 6PH",020 4530 5735,or 07572 156 582
Together Time (3 - 8 months),Friday,#b5b1f5,10:00:00+00:00,11:30:00+00:00,14 Feb - 28 March,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Liz Atkinson Children’s Centre,"9 9 Mostyn Road, SW9 6PH",020 4530 5735,or 07572 156 582
Natural Thinkers 1 - 4 years,Friday,#b5b1f5,10:30:00+00:00,12:00:00+00:00,(TTO),Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Liz Atkinson Children’s Centre,"9 9 Mostyn Road, SW9 6PH",020 4530 5735,or 07572 156 582
Starting Solids Workshop,Friday,#cd9faf,10:00:00+00:00,12:00:00+00:00,14 March,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
Health Visiting Appointments,Friday,#cd9faf,09:30:00+00:00,12:30:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
Antenatal & Postnatal Clinic,Friday,#aae3ff,12:00:00+00:00,15:30:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Jessop Children’s Centre,"9 Lowden Road, SE24 OBJ",020 7737 5164,or 07920 157 180
Stay & Play 0 - 4 years,Friday,#aae3ff,13:30:00+00:00,15:00:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Jessop Children’s Centre,"9 Lowden Road, SE24 OBJ",020 7737 5164,or 07920 157 180
Caseload Midwifery,Friday,#b5b1f5,12:00:00+00:00,16:00:00+00:00,,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Liz Atkinson Children’s Centre,"9 9 Mostyn Road, SW9 6PH",020 4530 5735,or 07572 156 582
Food Bag Collection,Friday,#cd9faf,13:00:00+00:00,15:00:00+00:00,by referral,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
ESOL,Friday,#cd9faf,13:15:00+00:00,15:15:00+00:00,10 Jan - 7 Feb Assessment / Enrolment 14 Feb. 28 Feb - 4 April,Better%20Start%20BRIXTON_STOCKWELL%20Spring%202025,Stockwell Children’s Centre,"9 Burgoyne Road, SW9 9QU",020 7326 7328,or 07398 131 353
Sensory Room Experience,Monday,#abd8c1,09:30:00+00:00,10:15:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Monday,#abd8c1,10:45:00+00:00,11:30:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Baby Explorers 0 - 12 months,Monday,#abd8c1,10:00:00+00:00,11:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Buenos dias / Good Morning Club 0-5 years,Monday,#aae3ff,10:00:00+00:00,11:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Being a Parent ADHD,Monday,#abd8c1,10:00:00+00:00,12:30:00+00:00,20 Jan- 31 Mar Register: https:/Avww.lambeth.gov.uk/children-young-people—families/parenting-support-service,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Monday,#abd8c1,13:15:00+00:00,14:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Monday,#abd8c1,14:15:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Monday,#abd8c1,15:15:00+00:00,16:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Henry Workshop - Starting Solids,Monday,#aae3ff,13:00:00+00:00,15:00:00+00:00,3 Feb gst-tr. HVsupportanddevelopmentworker@nhs.net,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Henry Workshop - Starting Solids,Monday,#abd8c1,13:00:00+00:00,15:00:00+00:00,24 Mar & 31 Mar gst-tr. HVsupportanddevelopmentworker@nhs.net,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Making it Real,Monday,#abd8c1,,,Please contact any centre to sign up,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Baby Massage for parents with babies (up to pre crawlers),Monday,#abd8c1,14:00:00+00:00,15:00:00+00:00,5 week course 13 Jan — 10 Feb Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Henry Workshop - Fussy Eating,Monday,#abd8c1,13:00:00+00:00,15:00:00+00:00,10 Mar gst-tr. HVsupportanddevelopmentworker@nhs.net,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Online Chattertime Live,Tuesday,#ced4d5,10:30:00+00:00,,"http:/Awww.facebook.com/
EvelinaLondonSLT/",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Virtual Session,online or by phone,,Clapham and Brixton Hill
Sensory Room Experience,Tuesday,#abd8c1,09:30:00+00:00,10:15:00+00:00,"Please contact any centre
to book",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Tuesday,#abd8c1,10:45:00+00:00,11:30:00+00:00,"Please contact any centre
to book",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
"Citizen’s Advice Face to Face
Appointments",Tuesday,#cd9faf,10:00:00+00:00,13:00:00+00:00,Please call any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Baby Sing Along,Tuesday,#cd9faf,10:00:00+00:00,11:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Stay & Play with Brunch Club,Tuesday,#efdab4,09:30:00+00:00,11:00:00+00:00,"0-5 years
Agnes Riley",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Agnes Riley One O’clock Club,"9 Atkins Road, SW12 0AH",020 8671 3298,
Stay & Play with Brunch Club,Tuesday,#efdab4,09:30:00+00:00,11:00:00+00:00,"0-5 years
Agnes Riley",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,The Spinney One O’clock Club,"9 Windmill Drive, Clapham Common, SW4 9DE",020 7627 9917,
Together Time,Tuesday,#aae3ff,10:00:00+00:00,11:30:00+00:00,"4 Feb — 25 Mar. To register Email:
PAIRS_Lambeth@slam.nhs.uk
Phone: 07740421626",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Sensory Room Experience,Tuesday,#abd8c1,13:15:00+00:00,14:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Tuesday,#abd8c1,14:15:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Tuesday,#abd8c1,15:15:00+00:00,16:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
"Chattertime with Speech
and Language Therapist",Tuesday,#cd9faf,13:30:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Natural Thinkers at The Spinney,Tuesday,#efdab4,13:30:00+00:00,15:00:00+00:00,"for families with children with
SEND",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Agnes Riley One O’clock Club,"9 Atkins Road, SW12 0AH",020 8671 3298,
Natural Thinkers at The Spinney,Tuesday,#efdab4,13:30:00+00:00,15:00:00+00:00,"for families with children with
SEND",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,The Spinney One O’clock Club,"9 Windmill Drive, Clapham Common, SW4 9DE",020 7627 9917,
ESOL for Parents,Tuesday,#abd8c1,13:00:00+00:00,15:00:00+00:00,"14 Jan — 25 Mar
Please contact any centre to book",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Speech and Language for Under 2s,Wednesday,#ced4d5,10:00:00+00:00,11:00:00+00:00,Email gst-tr.contactsit@nhs.net to register or book a place,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Virtual Session,online or by phone,,Clapham and Brixton Hill
Sensory Room Experience,Wednesday,#abd8c1,09:30:00+00:00,10:15:00+00:00,Please contact any centre to book.,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Wednesday,#abd8c1,10:45:00+00:00,11:30:00+00:00,Please contact any centre to book.,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Child Health Review,Wednesday,#abd8c1,09:30:00+00:00,16:00:00+00:00,By appointment only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Stay and Play 0-5 years,Wednesday,#abd8c1,09:30:00+00:00,11:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Stay and Play 0-5 years,Wednesday,#aae3ff,10:00:00+00:00,11:30:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Employment and Training Support,Wednesday,#cd9faf,,,Please call any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Child Health Review Appointments,Wednesday,#cd9faf,,,By appointment with Health visitor only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Sensory Room Experience,Wednesday,#abd8c1,13:15:00+00:00,14:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Wednesday,#abd8c1,14:15:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Wednesday,#abd8c1,15:15:00+00:00,16:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Song and Story 0-5 years,Wednesday,#abd8c1,14:00:00+00:00,15:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Baby weighing clinic,Wednesday,#cd9faf,13:00:00+00:00,15:00:00+00:00,Walk-in,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Chattertime Plus with Speech and Language Therapist,Wednesday,#aae3ff,13:30:00+00:00,15:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Sensory Room Experience,Thursday,#abd8c1,09:30:00+00:00,10:15:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Thursday,#abd8c1,10:45:00+00:00,11:30:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Childminders and professionals childcarers group,Thursday,#abd8c1,10:00:00+00:00,11:30:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Lambeth Talking Therapies,Thursday,#abd8c1,,,Ask about self-referrals,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Rose Voucher Collection Day,Thursday,#abd8c1,,,Appointment only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Rose Voucher Collection Day,Thursday,#cd9faf,,,Appointment only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Baby Massage for parents with babies (up to pre crawlers),Thursday,#aae3ff,10:00:00+00:00,11:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Connecting with Nature,Thursday,#abd8c1,10:00:00+00:00,11:00:00+00:00,0-4 years,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Thursday,#abd8c1,13:15:00+00:00,14:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Thursday,#abd8c1,14:15:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Thursday,#abd8c1,15:15:00+00:00,16:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Connecting with Nature - Twilight,Thursday,#abd8c1,15:45:00+00:00,16:45:00+00:00,5 - 11 years,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Circle of Security Parenting,Thursday,#cd9faf,13:00:00+00:00,15:00:00+00:00,"Register: https://www.lambeth.
gov.uk/children-young-people—
families/parenting-support-service",Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Maytree Children’s Centre,"9 4 Allingham Road, SW4 8EG",020 8671 3298,
Mud Club at The Spinney,Thursday,#efdab4,15:45:00+00:00,17:30:00+00:00,After School Session,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Agnes Riley One O’clock Club,"9 Atkins Road, SW12 0AH",020 8671 3298,
Mud Club at The Spinney,Thursday,#efdab4,15:45:00+00:00,17:30:00+00:00,After School Session,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,The Spinney One O’clock Club,"9 Windmill Drive, Clapham Common, SW4 9DE",020 7627 9917,
Sensory Room Experience,Friday,#abd8c1,09:30:00+00:00,10:15:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sensory Room Experience,Friday,#abd8c1,11:15:00+00:00,12:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Messy Play 0 - 5 years,Friday,#abd8c1,10:00:00+00:00,11:30:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Rose Voucher Collection Day,Friday,#aae3ff,,,Appointment only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Wriggle & Rhyme 0 - 5 years,Friday,#aae3ff,09:30:00+00:00,11:00:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Tree House Children’s Centre,"9 66 Upper Tulse Hill, SW2 2RW.",020 8674 6060,
Breastfeeding Support one2one,Friday,#abd8c1,,,By appointment only,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Toy Library (every fortnight) 0-5 years,Friday,#abd8c1,11:30:00+00:00,12:30:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Breastfeeding Support Group - Drop in,Friday,#abd8c1,12:30:00+00:00,14:30:00+00:00,,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Sleep Workshop,Friday,#abd8c1,13:30:00+00:00,15:00:00+00:00,Please contact any centre to book,Better%20Start%20CLAPHAM_BRIXTON_HILL%20Spring%202025,Clapham Manor at Triangle,"9 Triangle Nursery school, 25 William Bonney Estate Clapham Crescent SW4 7JQ",020 7622 1393,
Making it REAL (Raising Early Achievement in Literacy),Monday,#aae3ff,10:00:00+00:00,12:00:00+00:00,Call 020 7582 9711 option 2 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Ethelred Children’s Centre,"9 Gundulf St, SE11 6BG",020 7582 9711 Option 2,
ESOL CLIP,Monday,#b5b1f5,10:00:00+00:00,12:00:00+00:00,Call 07857 029 166 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
Specialist Infant Feeding,Monday,#b5b1f5,10:00:00+00:00,12:00:00+00:00,Invite only Call 07468 701 272 to book,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
Baby Messy Explorers,Monday,#cd9faf,,,Call 020 7735 1540 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
Toddler Messy Explorers,Monday,#cd9faf,11:30:00+00:00,12:30:00+00:00,Call 020 7735 1540 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
Children’s Vaccination Drop-In Clinic,Monday,#cd9faf,10:00:00+00:00,01:00:00+00:00,"27 Jan, 17 Feb, 17 Mar. For queries: call 020 7735 1540",Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
Specialist Infant Feeding,Monday,#b5b1f5,12:00:00+00:00,16:00:00+00:00,Invite only Call 07468 701 272 to book,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
Baby Explorers,Monday,#b5b1f5,01:00:00+00:00,02:00:00+00:00,Call 020 7091 1282 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
Toddler Explorers,Monday,#b5b1f5,02:30:00+00:00,04:00:00+00:00,Call 020 7091 1282 for info,Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
Health Visitors Development Reviews,Monday,#cd9faf,01:30:00+00:00,04:30:00+00:00,Call 020 3049 5300 to book (Please ask for the North),Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
Together Time,Monday,#cd9faf,01:00:00+00:00,03:00:00+00:00,Starts 10 Feb. To register: lambeth.gov.uk/parenting,Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
HENRY - Starting Solids,Tuesday,#aae3ff,10:00:00+00:00,12:00:00+00:00,"14 Jan
gst-tr. HVsupportanddevelopment
worker@nhs.net to book",Better%20Start%20NORTH_LAMBETH%20Spring%202025,Ethelred Children’s Centre,"9 Gundulf St, SE11 6BG",020 7582 9711 Option 2,
Henry - Fussy Eaters,Tuesday,#aae3ff,10:00:00+00:00,12:00:00+00:00,"28 Jan
gst-tr. HVsupportanddevelopment
worker@nhs.net to book",Better%20Start%20NORTH_LAMBETH%20Spring%202025,Ethelred Children’s Centre,"9 Gundulf St, SE11 6BG",020 7582 9711 Option 2,
Circle of Security Parenting,Tuesday,#b5b1f5,09:45:00+00:00,11:45:00+00:00,"Starts 28 Jan
To register visit: lambeth.gov.uk/
parenting",Better%20Start%20NORTH_LAMBETH%20Spring%202025,Henry Fawcett Children’s Centre,"9 Clayton St, SE11 5BZ",020 7091 1282,
"Health Visitors Development
Reviews",Tuesday,#cd9faf,09:30:00+00:00,12:30:00+00:00,"Call 0203 049 5300 to book
(Please ask for the North)",Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
"Baby/Toddler Yoga and
Movment with Didi",Tuesday,#cd9faf,10:00:00+00:00,11:00:00+00:00,"/ Coffee morning 11.00 - 12.00
Call 020 7735 1540 for info",Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
"Breastfeeding Support
Drop-in Group",Tuesday,#cd9faf,10:00:00+00:00,12:00:00+00:00,"No need to book. Email: lamccg.
lambethinfantfeedingservice@nhs.net
for more info",Better%20Start%20NORTH_LAMBETH%20Spring%202025,St Stephen’s Children’s Centre,"9 Meadow Place, SW8 1XY",020 7735 1540,
"Health Visitors Development
Reviews",Tuesday,#aae3ff,12:30:00+00:00,16:30:00+00:00,"Call 020 3049 5300 to book
(Please ask for the North)",Better%20Start%20NORTH_LAMBETH%20Spring%202025,Ethelred Children’s Centre,"9 Gundulf St, SE11 6BG",020 7582 9711 Option 2,
